Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 120.0.0.0,,,24-01-2024 02:50:17,24-01-2024 02:51:18,"1m - 1,582s",PASSED
,,,,,,,
Test Cases/Register/Register - Sucess,Chrome 120.0.0.0,,,24-01-2024 02:50:17,24-01-2024 02:50:25,"8,156s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:50:17,24-01-2024 02:50:20,"3,009s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:50:20,24-01-2024 02:50:21,"0,538s",PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:50:21,24-01-2024 02:50:22,"0,786s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina lutfiyya"")",Chrome 120.0.0.0,,,24-01-2024 02:50:22,24-01-2024 02:50:23,"0,924s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 02:50:23,24-01-2024 02:50:23,"0,716s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2""), ""safarinalutfi01"")",Chrome 120.0.0.0,,,24-01-2024 02:50:23,24-01-2024 02:50:24,"0,747s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab_1_2_3""), ""safarinalutfi01"")",Chrome 120.0.0.0,,,24-01-2024 02:50:24,24-01-2024 02:50:25,"0,704s",PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:50:25,24-01-2024 02:50:25,"0,363s",PASSED
,,,,,,,
Test Cases/Register/Register - Required field fill blank,Chrome 120.0.0.0,,,24-01-2024 02:50:25,24-01-2024 02:51:00,"34,724s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:50:25,24-01-2024 02:50:27,"1,560s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:50:27,24-01-2024 02:50:28,"0,751s",PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:50:28,24-01-2024 02:51:00,"32,276s",PASSED
,,,,,,,
Test Cases/Register/Register - Required field fill with space,Chrome 120.0.0.0,,,24-01-2024 02:51:00,24-01-2024 02:51:06,"6,283s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:51:00,24-01-2024 02:51:02,"1,506s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:51:02,24-01-2024 02:51:02,"0,450s",PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Register""))",Chrome 120.0.0.0,,,24-01-2024 02:51:02,24-01-2024 02:51:03,"0,818s",PASSED
"setText(findTestObject(""Object Repository/Page_Register/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), "" "")",Chrome 120.0.0.0,,,24-01-2024 02:51:03,24-01-2024 02:51:04,"0,955s",PASSED
